"Freq [GHz]","re(Y(1,1)) []","im(Y(1,1)) []","re(Y(1,2)) []","im(Y(1,2)) []","re(Y(2,1)) []","im(Y(2,1)) []","re(Y(2,2)) []","im(Y(2,2)) []"
0.1,4.39719700512528E-005,0.0145965997707477,-4.36930221012307E-005,-0.0130589568970369,-4.36930221012212E-005,-0.0130589568970369,4.4240723745015E-005,0.014650119315676
0.2,0.000602751112348728,0.043366720509072,-0.000602548393938429,-0.0403024464379576,-0.000602548393938402,-0.0403024464379577,0.000606161089724478,0.0435546606548789
0.3,0.0904691100172449,0.44557398727886,-0.0907284788225024,-0.44199247168236,-0.0907284788225027,-0.441992471682359,0.0909985515455324,0.448039651212807
0.4,0.00309563350608515,-0.0725672664953929,-0.00309400436705611,0.0794074825043556,-0.00309400436705613,0.0794074825043555,0.00311231921992755,-0.0731199869507214
0.5,0.000930990295455821,-0.0338836512095223,-0.000915054734263021,0.0425285791966672,-0.000915054734263045,0.0425285791966672,0.000934875446276308,-0.0342581927502953
0.6,0.000515920251991603,-0.0206750157096606,-0.00048618133563917,0.031402373236375,-0.000486181335639165,0.031402373236375,0.000516356258706206,-0.0210258883954478
0.7,0.000361446856191382,-0.0132000924141958,-0.00031232321772997,0.0263140700718873,-0.000312323217729933,0.0263140700718873,0.000359730780357176,-0.0135727914379553
0.8,0.000292108181366955,-0.007826825174296,-0.000213725032521139,0.0237422693824963,-0.000213725032521117,0.0237422693824963,0.000288217328824568,-0.0082530197746853
0.9,0.000266209114388643,-0.00330234354250186,-0.000141505507928392,0.022616885476562,-0.000141505507928385,0.022616885476562,0.000259040225409153,-0.00381831750665435
1,0.000275040705361479,0.00102765704213426,-7.30895452986106E-005,0.0225880617410818,-7.30895452986132E-005,0.0225880617410818,0.000261689514825941,0.000367393751894913
1.1,0.000328489448392788,0.0057037003674533,1.15932972397695E-005,0.0236600490864222,1.15932972397559E-005,0.0236600490864222,0.000301805618010442,0.00480153849334787
1.2,0.000467169779566104,0.0114583335699853,0.000147173175183118,0.0261863228414826,0.000147173175183108,0.0261863228414826,0.000406696566701738,0.0101068871753741
1.3,0.000836473180407309,0.01980770573445,0.00042780997260125,0.0312051395818783,0.000427809972601237,0.0312051395818783,0.000662809425472914,0.0174487412127506
1.4,0.00227200528990536,0.0356097998106354,0.00126277042024771,0.0419945865316088,0.00126277042024766,0.0419945865316088,0.00141277855237657,0.0299212344050008
1.5,0.0518038726259252,0.0903908170971575,0.0164605466177586,0.0766141689655818,0.0164605466177586,0.0766141689655818,0.00782683764579118,0.0615426508754205
1.6,0.0941688143025048,0.211677469900856,0.0965703641642204,0.243533346301628,0.0965703641642208,0.243533346301627,0.100687607449459,0.252408136040639
1.7,0.0154020984549939,-0.105381211580642,0.0159413330499492,-0.0995806872244385,0.0159413330499491,-0.0995806872244384,0.0171504946311125,-0.111344879918288
1.8,0.00324363277203581,-0.0473563734805699,0.00313826109870545,-0.0413057053334792,0.00313826109870548,-0.0413057053334791,0.00347622582926687,-0.0485998150767885
1.9,0.00152088215787849,-0.0302804172117079,0.00135992656526355,-0.0254859843152774,0.00135992656526359,-0.0254859843152774,0.00158170320674775,-0.0306435619589391
2,0.000955309937529501,-0.0216791207015937,0.000771986268168802,-0.0182995520697282,0.000771986268168827,-0.0182995520697282,0.000966827205388722,-0.0217691345149345
2.1,0.000719151080702534,-0.0162033698182311,0.000486751401440334,-0.0143302770009907,0.000486751401440366,-0.0143302770009907,0.000699431008908221,-0.0162205312958616
2.2,0.000702610319402414,-0.0120671140875834,0.000251294034565825,-0.0120221726040556,0.000251294034565892,-0.0120221726040555,0.000611323845379483,-0.0121710467936916
2.3,0.00261778681351322,-0.00817827797429809,-0.00128209919552781,-0.0110115605875416,-0.00128209919552811,-0.0110115605875414,0.00156177508622365,-0.00867079930777104
2.4,0.000844216609791101,-0.00878779487709087,-0.000115900850856915,-0.00761326792964793,-0.00011590085085694,-0.00761326792964788,0.000630277489934632,-0.00782766097388889
2.5,0.000428124120184952,-0.00611520622813437,0.000120654019564015,-0.00718958106665482,0.000120654019564015,-0.00718958106665483,0.000388227199778538,-0.0054151352761709
2.6,0.000409222921911158,-0.00426308232916334,0.000113131467164981,-0.00667731736809245,0.000113131467164953,-0.00667731736809249,0.000368727538018853,-0.00358177956320916
2.7,0.00038047410688798,-0.00253478009058522,0.000106657160630372,-0.00629476338939551,0.000106657160630313,-0.00629476338939556,0.000344299263094627,-0.00185072592124602
2.8,0.000346360692628468,-0.000894604525815666,0.000100493315224525,-0.0060229636918705,0.000100493315224457,-0.00602296369187054,0.000323397736226037,-0.000176226114102107
2.9,0.000308904216637909,0.00069093590034363,9.12170475991638E-005,-0.00585263038858117,9.12170475991027E-005,-0.0058526303885812,0.000323197231971744,0.00150227605073691
3,0.000269575105457392,0.00226402099960165,6.26026211674848E-005,-0.0057884913954754,6.26026211674867E-005,-0.0057884913954754,0.000424972974401553,0.0033195211791184
3.1,0.000300924103635724,0.00387985174383465,-0.000114660251821059,-0.00583396700423618,-0.000114660251820921,-0.0058339670042365,0.00165591875970315,0.00548839281259372
3.2,0.000350991982964928,0.00513451108322595,-0.000141940938377967,-0.00539762622209673,-0.000141940938378051,-0.00539762622209662,0.00122170030612091,0.00437981748219465
3.3,0.000277697174863628,0.00654711563316588,1.62569590713039E-005,-0.00558902579240818,1.62569590712957E-005,-0.00558902579240821,0.000494289418895119,0.00642077866617392
3.4,0.000292638719369958,0.00811118927991449,3.25457350794214E-005,-0.00584411705503127,3.25457350794023E-005,-0.0058441170550313,0.000373043573166911,0.00823602185649303
3.5,0.000322477661089762,0.00977884734603361,2.30050043108462E-005,-0.00617568401634516,2.30050043108395E-005,-0.00617568401634516,0.000350831561843135,0.0100338690576306
3.6,0.000373252564748831,0.011588897316507,-7.92203793230991E-006,-0.00663051169788561,-7.92203793231463E-006,-0.00663051169788562,0.000373108956904909,0.0119297048170359
3.7,0.000475623736940069,0.0136359532390327,-8.26209152185108E-005,-0.00728148636371603,-8.26209152185073E-005,-0.00728148636371603,0.000445555684303243,0.0140277208752794
3.8,0.000769560008563002,0.0161397729875783,-0.000316445974966132,-0.00829878487454563,-0.000316445974966122,-0.00829878487454562,0.000658813115115299,0.016510222451101
3.9,0.00247203106411707,0.0195100394134661,-0.0017095432061894,-0.0100095329242822,-0.00170954320618942,-0.0100095329242822,0.00185278033778559,0.0197056522489618
4,0.00410857816002071,0.0171723533943053,-0.00307747077611735,-0.00691815931842381,-0.00307747077611735,-0.00691815931842378,0.00304598658625727,0.0190551977448486
4.1,0.00152978402702496,0.0206040714589932,-0.000854495169126278,-0.0086321376628205,-0.000854495169126267,-0.00863213766282043,0.00129960990404312,0.0226348935233569
4.2,0.00120745517634549,0.0248902260444604,-0.000571104745981367,-0.0110053391858152,-0.000571104745981323,-0.0110053391858151,0.00114695417256466,0.0271007092842203
4.3,0.00131827708059137,0.030042123901684,-0.000652265333517319,-0.0140473075857614,-0.000652265333517271,-0.0140473075857614,0.00133309263390638,0.0326542065649491
4.4,0.00176181251606529,0.0370503006426098,-0.00102446596617861,-0.0186606711894786,-0.00102446596617856,-0.0186606711894786,0.00184463681381135,0.0403448766742473
4.5,0.0029628968954662,0.0479007075985155,-0.00211363394593848,-0.0267727482137432,-0.00211363394593848,-0.0267727482137432,0.00317766384724581,0.0524144168163677
4.6,0.00737586156993862,0.0684784383195334,-0.00649500520360561,-0.0444329941735605,-0.00649500520360574,-0.0444329941735605,0.00818890615113579,0.0756708197642474
4.7,0.0471529582416044,0.121704557970096,-0.0492201938039176,-0.0959152676956889,-0.0492201938039177,-0.0959152676956887,0.0553285862320895,0.136690042311398
4.8,0.0997407662544393,0.0201839464625127,-0.102984293923538,0.0260251187487121,-0.102984293923538,0.0260251187487127,0.111282430017804,0.00922433750033031
4.9,0.182631995752354,0.00194516289994934,-0.175391853032164,0.05287299192872,-0.175391853032164,0.0528729919287205,0.177074595090116,-0.00146115709115219
5,0.0251915985174709,-0.0487597984357749,-0.0162971602089676,0.121155186729757,-0.0162971602089675,0.121155186729757,0.0291071486817941,-0.0394010296453973
